rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_sparseReward_mean,time/episodes,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef
365.48,378.19257278,3607851,60,5.35,7920,59820,,,4.7327399253845215,3597850,0.0003,-0.5740463733673096,-61.89723205566406,0.023312341421842575
363.59,376.87281343,3608777,60,5.35,7924,59833,,,4.7918171882629395,3598776,0.0003,0.2212946116924286,-66.66715240478516,0.02218826860189438
,,3610000,,,,,401.7,391.23170079999994,4.15825891494751,3599999,0.0003,0.538800060749054,-63.77882385253906,0.0233277827501297
375.53,382.7279135200001,3610949,60,5.5,7928,59873,,,4.138376235961914,3600948,0.0003,4.035465717315674,-62.67876434326172,0.022922487929463387
375.51,382.5757366200001,3611984,60,5.5,7932,59888,,,6.65859317779541,3601983,0.0003,1.0649981498718262,-62.67466735839844,0.0237409844994545
389.38,381.9148370000001,3614271,60,5.5,7936,59922,,,3.8799614906311035,3604270,0.0003,0.7834562063217163,-57.75534439086914,0.0231058057397604
391.6,385.7331258699999,3615421,60,5.5,7940,59938,,,3.7846789360046387,3605420,0.0003,0.2891830503940582,-64.7010726928711,0.022637171670794487
417.66,386.9599022,3619427,60,5.55,7944,59997,,,4.507209777832031,3609426,0.0003,3.4598121643066406,-65.34140014648438,0.02274906076490879
,,3620000,,,,,665.7,361.6942299,3.7842249870300293,3609999,0.0003,-1.282273530960083,-68.62229919433594,0.022406740114092827
436.69,395.03614123,3622289,60,5.65,7948,60052,,,4.5785112380981445,3612288,0.0003,2.0437684059143066,-63.23645782470703,0.022449690848588943
452.01,397.63739821,3624748,60,5.65,7952,60088,,,4.374444961547852,3614747,0.0003,0.8314843773841858,-68.69139099121094,0.023884320631623268
464.84,394.84702849999996,3627186,60,5.65,7956,60124,,,3.879897117614746,3617185,0.0003,1.4770513772964478,-60.06056594848633,0.02446598745882511
475.84,391.95153998999996,3629391,60,5.65,7960,60156,,,12.407063484191895,3619390,0.0003,-0.35915642976760864,-66.11833953857422,0.024479681625962257
,,3630000,,,,,509.0,331.64326850000003,3.6960840225219727,3619999,0.0003,1.2968369722366333,-63.39476776123047,0.02302023023366928
462.04,393.04910653999997,3630424,60,5.6,7964,60181,,,6.906184673309326,3620423,0.0003,0.8306808471679688,-62.82069778442383,0.024135194718837738
472.86,390.67122736,3632817,60,5.6,7968,60216,,,4.400054931640625,3622816,0.0003,-1.739274501800537,-66.47344970703125,0.024287564679980278
440.34,384.59921731000003,3633603,60,5.45,7972,60227,,,2.264035701751709,3623602,0.0003,0.232066810131073,-63.49122619628906,0.023578094318509102
422.86,382.72112935999996,3634624,60,5.4,7976,60242,,,2.5188469886779785,3624623,0.0003,-1.0258063077926636,-62.08701705932617,0.02409473992884159
422.28,383.79257987,3635625,60,5.4,7980,60257,,,3.4114108085632324,3625624,0.0003,0.26295626163482666,-63.69211959838867,0.0236448235809803
396.1,380.24655445,3636942,60,5.25,7984,60276,,,4.028021812438965,3626941,0.0003,0.2545257806777954,-64.42129516601562,0.023207448422908783
398.49,381.9087310500001,3639706,60,5.25,7988,60317,,,4.342261791229248,3629705,0.0003,1.3387064933776855,-61.45537185668945,0.02340514026582241
,,3640000,,,,,987.0,413.5683526000001,4.08865213394165,3629999,0.0003,2.035346508026123,-62.10146713256836,0.02330091781914234
397.45,379.85933496999996,3640826,60,5.15,7992,60351,,,3.292255401611328,3630825,0.0003,0.7249565720558167,-62.38505172729492,0.024210844188928604
418.16,380.18189744000006,3643923,60,5.25,7996,60397,,,5.069036960601807,3633922,0.0003,1.4568307399749756,-61.70603561401367,0.022921858355402946
433.77,384.00548166999994,3646342,60,5.35,8000,60432,,,3.3358170986175537,3636341,0.0003,-0.21755412220954895,-63.887847900390625,0.023864250630140305
449.17,387.18728135,3648856,60,5.45,8004,60469,,,7.137448310852051,3638855,0.0003,-0.08218848705291748,-67.03985595703125,0.023134447634220123
446.98,385.07265119000004,3649616,60,5.45,8008,60481,,,6.49701452255249,3639615,0.0003,1.1460528373718262,-62.913761138916016,0.024460095912218094
,,3650000,,,,,709.5,411.89917449999996,4.348965167999268,3639999,0.0003,1.9867128133773804,-65.49717712402344,0.023959143087267876
447.91,385.9504593999999,3650671,60,5.45,8012,60509,,,4.725561141967773,3640670,0.0003,0.18903714418411255,-64.99286651611328,0.022767752408981323
477.94,385.90805964,3654632,60,5.4,8016,60567,,,3.3454220294952393,3644631,0.0003,1.922041654586792,-67.46435546875,0.02376650460064411
479.52,387.60685236999996,3655803,60,5.45,8020,60585,,,3.3351845741271973,3645802,0.0003,1.2740137577056885,-63.66329574584961,0.023698389530181885
496.05,392.36275720000003,3658382,60,5.5,8024,60623,,,4.265020370483398,3648381,0.0003,-0.5879371166229248,-65.46122741699219,0.02360999956727028
485.21,387.88062550999996,3659470,60,5.4,8028,60638,,,4.06591272354126,3649469,0.0003,0.8984463810920715,-62.564735412597656,0.022989429533481598
,,3660000,,,,,384.8,390.81773310000005,2.99906063079834,3649999,0.0003,0.8568752408027649,-63.58125686645508,0.0228129755705595
485.94,388.91617793999995,3660578,60,5.4,8032,60662,,,3.759669065475464,3650577,0.0003,-0.5665373802185059,-67.53837585449219,0.023619549348950386
472.57,390.68287958,3661528,60,5.4,8036,60676,,,2.867690086364746,3651527,0.0003,1.76170015335083,-60.888206481933594,0.02385079860687256
470.1,388.46949156000005,3662431,60,5.4,8040,60689,,,2.2010810375213623,3652430,0.0003,-0.7739588022232056,-63.472145080566406,0.022842109203338623
439.08,385.69181914,3663335,60,5.35,8044,60702,,,4.084973335266113,3653334,0.0003,-0.1482996940612793,-63.78433609008789,0.024090807884931564
435.35,379.69575273000004,3665824,60,5.3,8048,60739,,,2.976018190383911,3655823,0.0003,-0.25968414545059204,-70.39774322509766,0.022366123273968697
420.46,377.09448011,3666794,60,5.3,8052,60753,,,2.628173589706421,3656793,0.0003,-2.559770107269287,-67.44338989257812,0.02322738617658615
407.34,378.26463674999997,3667920,60,5.25,8056,60770,,,3.4027490615844727,3657919,0.0003,-1.05619478225708,-67.53831481933594,0.02410707250237465
,,3670000,,,,,858.1,445.05043880000005,3.2390313148498535,3659999,0.0003,2.168015956878662,-64.8592529296875,0.02341344580054283
410.75,381.0764674699999,3670466,60,5.25,8060,60823,,,3.8152389526367188,3660465,0.0003,-1.0249967575073242,-64.604248046875,0.02463124878704548
424.93,380.98423325,3672917,60,5.3,8064,60859,,,4.472744941711426,3662916,0.0003,-2.373547077178955,-63.49211120605469,0.024430476129055023
425.55,382.54950435000006,3675372,60,5.3,8068,60895,,,5.285496711730957,3665371,0.0003,-0.0910646915435791,-62.17779541015625,0.022624099627137184
427.36,385.48685995999995,3676339,60,5.35,8072,60909,,,5.209427833557129,3666338,0.0003,-1.1969943046569824,-64.24099731445312,0.024975890293717384
440.4,382.7398534,3678664,60,5.35,8076,60943,,,9.89541244506836,3668663,0.0003,0.6091423034667969,-61.690162658691406,0.0239842738956213
438.16,378.61552036,3679441,60,5.3,8080,60955,,,3.782015800476074,3669440,0.0003,-0.49635085463523865,-64.95478057861328,0.023387625813484192
,,3680000,,,,,692.0,410.4007128,2.4799866676330566,3669999,0.0003,1.480689525604248,-64.2117691040039,0.02333059161901474
436.48,382.51116915,3680590,60,5.35,8084,60984,,,2.7344212532043457,3670589,0.0003,-3.24503231048584,-64.13136291503906,0.023444892838597298
448.8,382.49370809,3684586,60,5.4,8088,61043,,,3.0513916015625,3674585,0.0003,-2.0611743927001953,-62.57025909423828,0.023578273132443428
470.3,383.72752125999995,3687856,60,5.45,8092,61091,,,4.725541114807129,3677855,0.0003,-0.7955244183540344,-64.45789337158203,0.02348020300269127
450.27,384.69811207000004,3688950,60,5.35,8096,61107,,,3.5881450176239014,3678949,0.0003,-0.12037323415279388,-65.888916015625,0.023152049630880356
433.73,381.07836203,3689715,60,5.25,8100,61118,,,3.259648323059082,3679714,0.0003,-2.098781108856201,-65.6807632446289,0.02291807159781456
,,3690000,,,,,687.8,396.3356787,4.367840766906738,3679999,0.0003,0.37981778383255005,-65.40118408203125,0.02293950691819191
433.21,379.43023179999994,3692177,60,5.25,8104,61167,,,4.183084964752197,3682176,0.0003,0.35178816318511963,-62.44368362426758,0.02448722906410694
436.35,383.85880632999994,3693251,60,5.3,8108,61183,,,4.354158401489258,3683250,0.0003,-0.5492788553237915,-65.40643310546875,0.02423446998000145
434.81,382.90296791000003,3694152,60,5.3,8112,61196,,,5.764354705810547,3684151,0.0003,2.0856406688690186,-66.97476959228516,0.023362642154097557
406.74,387.54532835,3695306,60,5.35,8116,61213,,,3.4679157733917236,3685305,0.0003,1.120019793510437,-63.4866828918457,0.02314446121454239
421.88,388.54417832000007,3697991,60,5.4,8120,61253,,,4.244065761566162,3687990,0.0003,1.8350636959075928,-65.31425476074219,0.024640504270792007
,,3700000,,,,,386.7,379.5824592,16.68992042541504,3689999,0.0003,-0.4824240207672119,-63.65411376953125,0.023330768570303917
422.71,390.01537572000007,3700653,60,5.45,8124,61299,,,3.4166879653930664,3690652,0.0003,-0.16003701090812683,-70.41357421875,0.022835761308670044
451.65,392.14673564,3704635,60,5.55,8128,61357,,,2.423224449157715,3694634,0.0003,-0.3560345768928528,-59.421607971191406,0.023469071835279465
466.12,392.8088049400001,3707190,60,5.6,8132,61395,,,3.483292579650879,3697189,0.0003,0.984548807144165,-61.22007751464844,0.023929538205266
479.94,391.88726518,3709522,60,5.65,8136,61429,,,3.435809373855591,3699521,0.0003,0.002522498369216919,-60.522979736328125,0.022856099531054497
,,3710000,,,,,718.2,440.66105179999994,4.787047386169434,3699999,0.0003,-2.0918772220611572,-65.12498474121094,0.022984551265835762
486.27,397.64055062,3711058,60,5.75,8140,61465,,,7.835899829864502,3701057,0.0003,2.3505759239196777,-63.703277587890625,0.02394414134323597
488.72,398.94999923,3712207,60,5.75,8144,61482,,,3.5362415313720703,3702206,0.0003,-0.673488974571228,-59.28689956665039,0.024176297709345818
490.47,400.3731558900001,3714871,60,5.8,8148,61521,,,4.590069770812988,3704870,0.0003,1.2732415199279785,-65.78594970703125,0.022774778306484222
491.16,401.49242358000004,3715910,60,5.8,8152,61536,,,3.0154106616973877,3705909,0.0003,2.3747434616088867,-63.676475524902344,0.023565225303173065
488.2,398.2928245800001,3716740,60,5.75,8156,61548,,,3.1154117584228516,3706739,0.0003,-0.7068224549293518,-67.46298217773438,0.023481210693717003
490.55,398.73229711000005,3719521,60,5.85,8160,61589,,,4.377203941345215,3709520,0.0003,-0.3141639232635498,-65.6084976196289,0.02333196997642517
,,3720000,,,,,847.9,439.8321101,4.305992126464844,3709999,0.0003,-0.8212260603904724,-62.49957275390625,0.02398037537932396
480.95,403.78947457999993,3721012,60,5.9,8164,61626,,,4.004964828491211,3711011,0.0003,-1.308639407157898,-61.984378814697266,0.023326246067881584
480.8,403.3743970700001,3723452,60,5.95,8168,61662,,,3.8811724185943604,3713451,0.0003,2.160571813583374,-62.542457580566406,0.023630550131201744
481.14,402.94001801999997,3724453,60,5.95,8172,61677,,,4.414000511169434,3714452,0.0003,-0.3587337136268616,-64.17652130126953,0.024765949696302414
